ingredients,reasons
Dyes," Pigments from animal, plant, and synthetic sources used to color foods, cosmetics, and other products. Cochineal is from insects. Widely used FD&C and D&C colors are coal-tar (bituminous coal) derivatives that are continuously tested on animals because of their carcinogenic properties. Alternatives: grapes, beets, turmeric, saffron, carrots, chlorophyll, annatto, alkanet."
Corticosteroid, (See Cortisone.)
Cortisone," When animal-derived, a hormone from adrenal glands. However, a synthetic is widely used. Typically used in medicine. Alternatives: synthetics."
Corticosteroid," When animal-derived, a hormone from adrenal glands. However, a synthetic is widely used. Typically used in medicine. Alternatives: synthetics."
"Cysteine, L-Form"," An amino acid from hair that can come from animals. Used in hair-care products and creams, in some bakery products, and in wound-healing formulations. Alternatives: plant sources."
Cystine, An amino acid found in urine and horsehair. Used as a nutritional supplement and in emollients. Alternatives: plant sources.
Dexpanthenol, (See Panthenol.)
Diglycerides, (See Monoglycerides and Glycerin.)
Dimethyl Stearamine, (See Stearic Acid.)
Down," Goose or duck insulating feathers. From slaughtered or cruelly exploited geese. Used as an insulator in quilts, parkas, sleeping bags, pillows, etc. Alternatives: polyester and synthetic substitutes, kapok (silky fibers from the seeds of some tropical trees) and milkweed seed pod fibers."
Duodenum Substances," From the digestive tracts of cows and pigs. Added to some vitamin tablets. In some medicines. Alternatives: vegetarian vitamins, synthetics."
Dyes, (See Colors.)
Egg Protein," In shampoos, skin preparations, etc. Alternatives: plant proteins."
Elastin," Protein found in the neck ligaments and aortas of cows. Similar to collagen. Can’t affect the skin’s own elasticity. Alternatives: synthetics, protein from plant tissues."
Emu Oil, From flightless ratite birds native to Australia and now factory-farmed. Used in cosmetics and creams. Alternatives: vegetable and plant oils.
Ergocalciferol, (See Vitamin D.)
Ergosterol, (See Vitamin D.)
Estradiol, (See Estrogen.)
Estrogen," Female hormones from pregnant mares’ urine. Considered a drug. Can have harmful systemic effects if used by children. Used for reproductive problems and in birth control pills and Premarin, a menopausal drug. In creams, perfumes, and lotions. Has a negligible effect in the creams as a skin restorative; simple vegetable-source emollients are considered better. Alternatives: oral contraceptives and menopausal drugs based on synthetic steroids or phytoestrogens (from plants, especially palm-kernel oil). Menopausal symptoms can also be treated with diet and herbs."
Estradiol," Female hormones from pregnant mares’ urine. Considered a drug. Can have harmful systemic effects if used by children. Used for reproductive problems and in birth control pills and Premarin, a menopausal drug. In creams, perfumes, and lotions. Has a negligible effect in the creams as a skin restorative; simple vegetable-source emollients are considered better. Alternatives: oral contraceptives and menopausal drugs based on synthetic steroids or phytoestrogens (from plants, especially palm-kernel oil). Menopausal symptoms can also be treated with diet and herbs."
Fats, (See Animal Fats.)
Fatty Acids," Can be one or any mixture of liquid and solid acids such as caprylic, lauric, myristic, oleic, palmitic, and stearic. Used in bubble baths, lipsticks, soap, detergents, cosmetics, food. Alternatives: vegetable-derived acids, soy lecithin, safflower oil, bitter almond oil, sunflower oil, etc."
FD&C Colors, (See Colors.)
Feathers, From exploited and slaughtered birds. Used whole as ornaments or ground up in shampoos. (See Down and Keratin.)
Fish Liver Oil," Used in vitamins and supplements. In milk fortified with vitamin D. Alternatives: yeast extract ergosterol, exposure of skin to sunshine."
Fish Oil, (See Marine Oil.) Fish oil can also be from marine mammals. Used in soapmaking.
Fish Scales," Used in shimmery makeup. Alternatives: mica, rayon, synthetic pearl."
Fur," Obtained from animals (usually mink, foxes, or rabbits) cruelly trapped in steel-jaw traps or raised in intensive confinement on fur farms. Alternatives: synthetics. (See Sable Brushes.)"
Gel, (See Gelatin.)
Gelatin," Protein obtained by boiling skin, tendons, ligaments, and/or bones in water. From cows and pigs. Used in shampoos, face masks, and other cosmetics. Used as a thickener for fruit gelatins and puddings (e.g., Jell-O). In candies, marshmallows, cakes, ice cream, yogurts. On photographic film and in vitamins as a coating and as capsules. Sometimes used to assist in “clearing” wines. Alternatives: carrageen (carrageenan, Irish moss), seaweeds (algin, agar-agar, kelp—used in jellies, plastics, medicine), pectin from fruits, dextrins, locust bean gum, cotton gum, silica gel. Marshmallows were originally made from the root of the marshmallow plant. Vegetarian capsules are now available from several companies. Digital cameras don’t use film."
Gel," Protein obtained by boiling skin, tendons, ligaments, and/or bones in water. From cows and pigs. Used in shampoos, face masks, and other cosmetics. Used as a thickener for fruit gelatins and puddings (e.g., Jell-O). In candies, marshmallows, cakes, ice cream, yogurts. On photographic film and in vitamins as a coating and as capsules. Sometimes used to assist in “clearing” wines. Alternatives: carrageen (carrageenan, Irish moss), seaweeds (algin, agar-agar, kelp—used in jellies, plastics, medicine), pectin from fruits, dextrins, locust bean gum, cotton gum, silica gel. Marshmallows were originally made from the root of the marshmallow plant. Vegetarian capsules are now available from several companies. Digital cameras don’t use film."
Glucose Tyrosinase, (See Tyrosine.)
Glycerides, (See Glycerin.)
Glycerin," A byproduct of soap manufacture (normally uses animal fat). In cosmetics, foods, mouthwashes, chewing gum, toothpastes, soaps, ointments, medicines, lubricants, transmission and brake fluid, and plastics. Derivatives: Glycerides, Glyceryls, Glycreth-26, Polyglycerol. Alternatives: vegetable glycerin (a byproduct of vegetable oil soap), derivatives of seaweed, petroleum."
Glycerol," A byproduct of soap manufacture (normally uses animal fat). In cosmetics, foods, mouthwashes, chewing gum, toothpastes, soaps, ointments, medicines, lubricants, transmission and brake fluid, and plastics. Derivatives: Glycerides, Glyceryls, Glycreth-26, Polyglycerol. Alternatives: vegetable glycerin (a byproduct of vegetable oil soap), derivatives of seaweed, petroleum."
Glycerol, (See Glycerin.)
Glyceryls, (See Glycerin.)
Glycreth-26, (See Glycerin.)
Guanine," Obtained from scales of fish. Constituent of ribonucleic acid and deoxyribonucleic acid and found in all animal and plant tissues. In shampoo, nail polish, other cosmetics. Alternatives: leguminous plants, synthetic pearl, or aluminum and bronze particles."
Pearl Essence," Obtained from scales of fish. Constituent of ribonucleic acid and deoxyribonucleic acid and found in all animal and plant tissues. In shampoo, nail polish, other cosmetics. Alternatives: leguminous plants, synthetic pearl, or aluminum and bronze particles."
Hide Glue, Same as gelatin but of a cruder impure form. Alternatives: dextrins and synthetic petrochemical-based adhesives. (See Gelatin.)
Honey," Food for bees, made by bees. Can cause allergic reactions. Used as a coloring and an emollient in cosmetics and as a flavoring in foods. Should never be fed to infants. Alternatives: in foods—maple syrup, date sugar, syrups made from grains such as barley malt, turbinado sugar, molasses; in cosmetics—vegetable colors and oils."
Honeycomb, (See Beeswax.)
Horsehair, (See Animal Hair.)
Hyaluronic Acid," When animal-derived, a protein found in umbilical cords and the fluids around the joints. Used in cosmetics and some medical applications. Alternatives: synthetic hyaluronic acid, plant oils."
Hydrocortisone, (See Cortisone.)
Hydrolyzed Animal Protein," In cosmetics, especially shampoo and hair treatments. Alternatives: soy protein, other vegetable proteins, amla oil (see alternatives to Keratin)."
Imidazolidinyl Urea, (See Urea.)
Insulin," From hog pancreas. Used by millions of diabetics daily. Alternatives: synthetics, vegetarian diet and nutritional supplements, human insulin grown in a lab."
Isinglass," A form of gelatin prepared from the internal membranes of fish bladders. Sometimes used in “clearing” wines and in foods. Alternatives: bentonite clay, “Japanese isinglass,” agar-agar (see alternatives to Gelatin), mica, a mineral used in cosmetics."
Isopropyl Lanolate, (See Lanolin.)
Isopropyl Myristate, (See Myristic Acid.)
Isopropyl Palmitate, Complex mixtures of isomers of stearic acid and palmitic acid. (See Stearic Acid.)
Keratin," Protein from the ground-up horns, hooves, feathers, quills, and hair of various animals. In hair rinses, shampoos, permanent wave solutions. Alternatives: almond oil, soy protein, amla oil (from the fruit of an Indian tree), human hair from salons. Rosemary and nettle give body and strand strength to hair."
Lactic Acid," Typically derived from plants such as beets. When animal-derived, found in blood and muscle tissue. Also in sour milk, beer, sauerkraut, pickles, and other food products made by bacterial fermentation. Used in skin fresheners, as a preservative, in the formation of plasticizers, etc. Alternatives: plant milk sugars, synthetics."
Lactose," Milk sugar from milk of mammals. In eye lotions, foods, tablets, cosmetics, baked goods, medicines. Alternatives: plant milk sugars."
Laneth, (See Lanolin.)
Lanogene, (See Lanolin.)
Lanolin," A product of the oil glands of sheep, extracted from their wool. Used as an emollient in many skin-care products and cosmetics and in medicines. An allergen with no proven effectiveness. (See Wool for cruelty to sheep.) Derivatives: Aliphatic Alcohols, Cholesterin, Isopropyl Lanolate, Laneth, Lanogene, Lanolin Alcohols, Lanosterols, Sterols, Triterpene Alcohols. Alternatives: plant and vegetable oils."
Lanolin Acids," A product of the oil glands of sheep, extracted from their wool. Used as an emollient in many skin-care products and cosmetics and in medicines. An allergen with no proven effectiveness. (See Wool for cruelty to sheep.) Derivatives: Aliphatic Alcohols, Cholesterin, Isopropyl Lanolate, Laneth, Lanogene, Lanolin Alcohols, Lanosterols, Sterols, Triterpene Alcohols. Alternatives: plant and vegetable oils."
Wool Fat," A product of the oil glands of sheep, extracted from their wool. Used as an emollient in many skin-care products and cosmetics and in medicines. An allergen with no proven effectiveness. (See Wool for cruelty to sheep.) Derivatives: Aliphatic Alcohols, Cholesterin, Isopropyl Lanolate, Laneth, Lanogene, Lanolin Alcohols, Lanosterols, Sterols, Triterpene Alcohols. Alternatives: plant and vegetable oils."
Wool Wax," A product of the oil glands of sheep, extracted from their wool. Used as an emollient in many skin-care products and cosmetics and in medicines. An allergen with no proven effectiveness. (See Wool for cruelty to sheep.) Derivatives: Aliphatic Alcohols, Cholesterin, Isopropyl Lanolate, Laneth, Lanogene, Lanolin Alcohols, Lanosterols, Sterols, Triterpene Alcohols. Alternatives: plant and vegetable oils."
Lanolin Alcohol, (See Lanolin.)
Lanosterols, (See Lanolin.)
Lard," Fat from hog abdomens. In shaving creams, soaps, cosmetics. In baked goods, French fries, refried beans, and many other foods. Alternatives: pure vegetable fats or oils."
Leather," Subsidizes the meat industry. Used to make wallets, handbags, furniture and car upholstery, shoes, etc. Alternatives: cotton, canvas, nylon, vinyl, ultrasuede, pleather, other synthetics."
Suede," Subsidizes the meat industry. Used to make wallets, handbags, furniture and car upholstery, shoes, etc. Alternatives: cotton, canvas, nylon, vinyl, ultrasuede, pleather, other synthetics."
Calfskin," Subsidizes the meat industry. Used to make wallets, handbags, furniture and car upholstery, shoes, etc. Alternatives: cotton, canvas, nylon, vinyl, ultrasuede, pleather, other synthetics."
Sheepskin," Subsidizes the meat industry. Used to make wallets, handbags, furniture and car upholstery, shoes, etc. Alternatives: cotton, canvas, nylon, vinyl, ultrasuede, pleather, other synthetics."
Alligator Skin," Subsidizes the meat industry. Used to make wallets, handbags, furniture and car upholstery, shoes, etc. Alternatives: cotton, canvas, nylon, vinyl, ultrasuede, pleather, other synthetics."
Other Types of Skin," Subsidizes the meat industry. Used to make wallets, handbags, furniture and car upholstery, shoes, etc. Alternatives: cotton, canvas, nylon, vinyl, ultrasuede, pleather, other synthetics."
Lecithin," Waxy substance in nervous tissue of all living organisms. But frequently obtained for commercial purposes from eggs and soybeans. Also from nerve tissue, blood, milk, corn. Choline bitartrate, the basic constituent of lecithin, is in many animal and plant tissues and prepared synthetically. Lecithin can be in eye creams, lipsticks, liquid powders, hand creams, lotions, soaps, shampoos, other cosmetics, and some medicines. Alternatives: soybean lecithin, synthetics."
Choline Bitartrate," Waxy substance in nervous tissue of all living organisms. But frequently obtained for commercial purposes from eggs and soybeans. Also from nerve tissue, blood, milk, corn. Choline bitartrate, the basic constituent of lecithin, is in many animal and plant tissues and prepared synthetically. Lecithin can be in eye creams, lipsticks, liquid powders, hand creams, lotions, soaps, shampoos, other cosmetics, and some medicines. Alternatives: soybean lecithin, synthetics."
Linoleic Acid," An essential fatty acid. Used in cosmetics, vitamins. Alternatives: (See alternatives to Fatty Acids.)"
Lipase," Enzyme from the stomachs and tongue glands of calves, kids, and lambs. Used in cheesemaking and in digestive aids. Alternatives: vegetable enzymes, castor beans."
Lipids, (See Lipoids.)
Lipoids, Fat and fat-like substances that are found in animals and plants. Alternatives: vegetable oils.
Lipids, Fat and fat-like substances that are found in animals and plants. Alternatives: vegetable oils.
Marine Oil," From fish or marine mammals (including porpoises). Used in soapmaking. Used as a shortening (especially in some margarines), as a lubricant, and in paint. Alternatives: vegetable oils."
Methionine, Essential amino acid found in various proteins (usually from egg albumen and casein). Used as a texturizer and for freshness in potato chips. Alternatives: synthetics.
Milk Protein," Hydrolyzed milk protein. From the milk of cows. In cosmetics, shampoos, moisturizers, conditioners, etc. Alternatives: soy protein, other plant proteins."
Mink Oil," From minks. In cosmetics, creams, etc. Alternatives: vegetable oils and emollients such as avocado oil, almond oil, and jojoba oil."
Monoglycerides," From animal fat. In margarines, cake mixes, candies, foods, etc. In cosmetics. Alternative: vegetable glycerides."
Glycerides," From animal fat. In margarines, cake mixes, candies, foods, etc. In cosmetics. Alternative: vegetable glycerides."
Musk (Oil)," Dried secretion painfully obtained from musk deer, beaver, muskrat, civet cat, and otter genitals. Wild cats are kept captive in cages in horrible conditions and are whipped around the genitals to produce the scent; beavers are trapped; deer are shot. In perfumes and in food flavorings. Alternatives: labdanum oil (from various rockrose shrubs) and extracts from other plants with a musky scent."
Myristal Ether Sulfate, (See Myristic Acid.)
Myristic Acid," Organic acid typically derived from nut oils but occasionally of animal origin. Used in shampoos, creams, cosmetics. In food flavorings. Derivatives: Isopropyl Myristate, Myristal Ether Sulfate, Myristyls, Oleyl Myristate. Alternatives: nut butters, oil of lovage, coconut oil, extract from seed kernels of nutmeg, etc."
Myristyls, (See Myristic Acid.)
“Natural Sources," Can mean animal or vegetable sources. Most often in the health-food industry, especially in the cosmetics area, it means animal sources, such as animal elastin, glands, fat, protein, and oil. Alternatives: plant sources."
Nucleic Acids," In the nucleus of all living cells. Used in cosmetics, shampoos, conditioners, etc. Also in vitamins, supplements. Alternatives: plant sources."
Ocenol, (See Oleyl Alcohol.)
Octyl Dodecanol, Mixture of solid waxy alcohols. Primarily from stearyl alcohol. (See Stearyl Alcohol.)
Oleic Acid," Obtained from various animal and vegetable fats and oils. Usually obtained commercially from inedible tallow. (See Tallow.) In foods, soft soap, bar soap, permanent wave solutions, creams, nail polish, lipsticks, many other skin preparations. Derivatives: Oleyl Oleate, Oleyl Stearate. Alternatives: coconut oil. (See alternatives to Animal Fats and Oils.)"
Oils, (See alternatives to Animal Fats and Oils.)
Oleths, (See Oleyl Alcohol.)
Oleyl Alcohol," Found in fish oils. Used in the manufacture of detergents, as a plasticizer for softening fabrics, and as a carrier for medications. Derivatives: Oleths, Oleyl Arachidate, Oleyl Imidazoline."
Ocenol," Found in fish oils. Used in the manufacture of detergents, as a plasticizer for softening fabrics, and as a carrier for medications. Derivatives: Oleths, Oleyl Arachidate, Oleyl Imidazoline."
Oleyl Arachidate, (See Oleyl Alcohol.)
Oleyl Imidazoline, (See Oleyl Alcohol.)
Oleyl Myristate, (See Myristic Acid.)
Oleyl Oleate, (See Oleic Acid.)
Oleyl Stearate, (See Oleic Acid.)
Palmitamide, (See Palmitic Acid.)
Palmitamine, (See Palmitic Acid.)
Palmitate, (See Palmitic Acid.)
Palmitic Acid," A fatty acid most commonly derived from palm oil but may be derived from animals as well. In shampoos, shaving soaps, creams. Derivatives: Palmitate, Palmitamine, Palmitamide. Alternatives: vegetable sources."
Panthenol," Can come from animal or plant sources or synthetics. In shampoos, supplements, emollients, etc. In foods. Derivative: Panthenyl. Alternatives: synthetics, plants."
Dexpanthenol," Can come from animal or plant sources or synthetics. In shampoos, supplements, emollients, etc. In foods. Derivative: Panthenyl. Alternatives: synthetics, plants."
Vitamin B-Complex Factor," Can come from animal or plant sources or synthetics. In shampoos, supplements, emollients, etc. In foods. Derivative: Panthenyl. Alternatives: synthetics, plants."
Provitamin B-5," Can come from animal or plant sources or synthetics. In shampoos, supplements, emollients, etc. In foods. Derivative: Panthenyl. Alternatives: synthetics, plants."
Panthenyl, (See Panthenol.)
Pepsin, In hogs’ stomachs. A clotting agent. In some cheeses and vitamins. Same uses and alternatives as Rennet.
Placenta," Contains waste matter eliminated by the fetus. Derived from the uterus of slaughtered animals. Animal placenta is widely used in skin creams, shampoos, masks, etc. Alternatives: kelp. (See alternatives to Animal Fats and Oils.)"
Placenta Polypeptides Protein," Contains waste matter eliminated by the fetus. Derived from the uterus of slaughtered animals. Animal placenta is widely used in skin creams, shampoos, masks, etc. Alternatives: kelp. (See alternatives to Animal Fats and Oils.)"
Afterbirth," Contains waste matter eliminated by the fetus. Derived from the uterus of slaughtered animals. Animal placenta is widely used in skin creams, shampoos, masks, etc. Alternatives: kelp. (See alternatives to Animal Fats and Oils.)"
Polyglycerol, (See Glycerin.)
Polypeptides, From animal protein. Used in cosmetics. Alternatives: plant proteins and enzymes.
Polysorbates," Derivatives of fatty acids. In cosmetics, foods."
Pristane," Obtained from the liver oil of sharks and from whale ambergris. (See Squalene, Ambergris.) Used as a lubricant and anti-corrosive agent. In cosmetics. Alternatives: plant oils, synthetics."
Progesterone, A steroid hormone used in anti-wrinkle face creams. Can have adverse systemic effects. Alternatives: synthetics.
Propolis," Tree sap gathered by bees and used as a sealant in beehives. In toothpaste, shampoo, deodorant, supplements, etc. Alternatives: tree sap, synthetics."
Provitamin A, (See Carotene.)
Provitamin B-5, (See Panthenol.)
Provitamin D-2, (See Vitamin D.)
Rennet," Enzyme from calves’ stomachs. Used in cheesemaking, rennet custard (junket), and in many coagulated dairy products. Alternatives: microbial coagulating agents, bacteria culture, lemon juice, or vegetable rennet."
Rennin," Enzyme from calves’ stomachs. Used in cheesemaking, rennet custard (junket), and in many coagulated dairy products. Alternatives: microbial coagulating agents, bacteria culture, lemon juice, or vegetable rennet."
Rennin, (See Rennet.)
Resinous Glaze, (See Shellac.)
Retinol, Animal-derived vitamin A. Alternative: carotene.
Ribonucleic Acid, (See RNA.)
RNA, RNA is in all living cells. Used in many protein shampoos and cosmetics. Alternatives: plant cells.
Ribonucleic Acid, RNA is in all living cells. Used in many protein shampoos and cosmetics. Alternatives: plant cells.
Royal Jelly," Secretion from the throat glands of worker honeybees. Fed to the larvae in a colony and to all queen larvae. No proven value in cosmetics preparations. Alternatives: aloe vera, comfrey, other plant derivatives."
Sable Brushes," From the fur of sables (weasel-like mammals). Used to make eye makeup, lipstick, and artists’ brushes. Alternatives: synthetic fibers."
Sea Turtle Oil, (See Turtle Oil.)
